Topic,Words,Frequency,Class
130,"liberty, liberty high, liberty hs, school liberty, liberty liberty",22,low_fb
132,"pine, pine view, view, longwood, pinewood",26,low_fb
133,"madison, madison high, school madison, madison great, huntsville",48,low_fb
134,"heritage, heritage high, american heritage, heritage academy, atrisco heritage",25,low_fb
135,"thank, want thank, thank teachers, want say, grateful",18,low_fb
136,"homework, jersey village, pv, progressbook, homework possible",12,low_fb
137,"tca, tc, tchs, tcs, tca way",19,low_fb
138,"eisenhower, freedom, nova, eisenhower high, freedom academy",20,low_fb
140,"st peter, peter, 19 glowing, academics hockey, compared notch",1,low_fb
141,"washington, washington school, washington high, west washington, washington county",16,low_fb
142,"sunset, sunset park, attended sunset, park, sunset ghetto",4,low_fb
143,"east, eastern, egr, eastside, east duplin",36,low_fb
144,"stratford, appeasement difficult, unlikely scenario, lacks groups, graduate stratford",2,low_fb
145,"eagle, eagle academy, eagles, men, young men",15,low_fb
146,"ncs, nca, nrca, nc, nccs",26,low_fb
147,"manhattan bridges, bridges, bridge, manhattan, 2010 forget",5,low_fb
148,"sma, smcc, sm, smhs, smchs",29,low_fb
149,"francis, st francis, st, desales, francis desales",32,low_fb
150,"ipads, ipad, use, technology, chromebook",33,low_fb
151,"wilson, mr wilson, best math, school wilson, wilson best",8,low_fb
152,"st patrick, patrick, st, teams strive, aims prepare",6,low_fb
153,"tiger, tigers, bethal, drama teacher, responsible arts",9,low_fb
154,"fcs, fca, fchs, love fcs, fayetteville",48,low_fb
155,"dyslexia, iac, dyslexic, iahs, graphic dyslexia",5,low_fb
156,"hillsdale, lawndale, riverdale, hillsdale high, fairdale",25,low_fb
157,"calvary, calvary christian, christian, cca, god",23,low_fb
158,"ics, ics happy, year ics, involvement gardening, dependable people",2,low_fb
159,"mcauley, mca, mcas, mcauliffe, experience mcauley",18,low_fb
160,"brook, brookfield, brookwood, north brookfield, mountain brook",4,low_fb
161,"county, loudoun, school county, loudoun county, best",30,low_fb
162,"st thomas, thomas, st, thomas aquinas, aquinas",12,low_fb
163,"iolani, hawaii, punahou, hawaiian, radford",29,low_fb
164,"davis, richmond, davis high, berkshire, davis great",20,low_fb
165,"canyon, copper canyon, copper, potts, american canyon",10,low_fb
166,"msa, excellent excellent, faults backwardness, making reminders, doors bell",8,low_fb
167,"blue, blue ribbon, ribbon, ribbon school, national blue",19,low_fb
168,"german, gbh, goethe, diploma, germany",5,low_fb
169,"roosevelt, rhs, discussing high, rhs coming, permits overall",2,low_fb
172,"new lebanon, lebanon, mckinley, greater, greater artistic",1,low_fb
173,"mvhs, mvcs, vistia, mvca, mv",12,low_fb
174,"langley, kennedy, jfk, poe, langley high",35,low_fb
175,"saints, sanford, gentlemen boys, observation trip, sons shapes",6,low_fb
176,"lakeside, cypress, cypress ranch, lakeside high, experience lakeside",11,low_fb
177,"providence, college, providence catholic, classical, providence academy",31,low_fb
178,"vegas, las vegas, las, nevada, albuquerque",21,low_fb
179,"experience school, experience, great experience, introducers, athleticly morality",19,low_fb
180,"glencliff, glenelg, glencoe, glenwood, glen",10,low_fb
181,"kipp, attending kipp, kipp saved, teached thing, write husband",5,low_fb
182,"dc, dcc, dchs, dcs, dca",21,low_fb
183,"instruction padua, collectively friendly, past expectation, seen succeed, feeling answered",4,low_fb
184,"evergreen, evergreen park, clothes, school evergreen, hs",5,low_fb
185,"rchs, rc, rcs, rchs great, impressed rcs",15,low_fb
186,"miami, dade, school miami, miami dade, dade county",22,low_fb
187,"pius, st pius, st, pius school, pius excellent",12,low_fb
189,"edison, edison great, edison high, la reina, reina",16,low_fb
190,"central, central high, love central, roman, student central",37,low_fb
191,"esj, ese, criteria website, vindictive support, john 2009",3,low_fb
192,"poor, poor school, poor poor, school poor, extremely poor",16,low_fb
193,"ivy, ivy league, league, league schools, tesoro",12,low_fb
194,"walden, berwick, berwick great, marshwood, opinon",5,low_fb
196,"cambridge, local university, cambridge program, cambridge academy, dixie",5,low_fb
197,"notre dame, notre, dame, nda, dame academy",30,low_fb
198,"new principal, new, student opinions, principal, school new",9,low_fb
199,"horizon, horizon growing, rocori, horizon science, science academy",5,low_fb
200,"improvement, changes, beggs, improve, improvements",24,low_fb
201,"clovis, cls, northside, cps, cps school",4,low_fb
202,"hamilton, alexander, tech center, east hamilton, tech",36,low_fb
203,"shepherd, good shepherd, shepherd years, best make, best shepherd",4,low_fb
204,"pvhs, pv, pvi, pine view, pves",13,low_fb
