Topic,Words,Frequency,Class
362,"sunset, sunset park, attended sunset, park, setting sunset",3,low_fb
363,"mhs, mrhs, mhshs, student mhs, mhs great",19,low_fb
365,"ursuline, hollister, prescott, hollister high, ursuline new",10,low_fb
366,"atherton, newman, woodward, atherton high, just wolverines",5,low_fb
367,"prairie, prairie excellent, new prairie, prep prairie, populated grade",2,low_fb
368,"messages, need decent, calling everyday, calls, decent math",7,low_fb
370,"shortly hold, graduate shortly, teachers gavit, lowell, gavit high",1,low_fb
371,"ahs, ahs sports, school ahs, tht, love ahs",18,low_fb
372,"detroit, michigan, denby, school detroit, gabriel richard",19,low_fb
373,"whatsoever turn, aboslute, aboslute teerible, teerible school, teerible",6,low_fb
374,"school dreama, stonebridge better, dreama, dreama academics, good stonebridge",1,low_fb
375,"diploma, ged, accredited, student graduate, accredited rotting",6,low_fb
376,"dog, loranger high, loranger, send dog, text book",4,low_fb
377,"shop clue, lot ag, president shop, 2016 enjoy, bringing ag",2,low_fb
378,"lehi, saddened happened, granted lots, lecj decline, began 2005",3,low_fb
379,"vocal program, vocal, errors current, clear vocal, nightmare steer",1,low_fb
380,"caddo hills, caddo, succes truly, students caddo, choices previously",1,low_fb
381,"sps, sphs, north shore, learning differences, differences finding",6,low_fb
382,"frankford, graduated frankford, attend frankford, frankford changed, catch septa",2,low_fb
384,"dual pay, arent dual, brown county, classes arent, love brown",1,low_fb
385,"progressive, hawken, progressive school, brett wolfe, renowned familiar",5,low_fb
386,"ripple high, think ghetto, broad ripple, ripple, school necessarily",1,low_fb
387,"pa, pennsylvania, actual pa, schools pa, performance standards",10,low_fb
388,"conditioning, air conditioning, air, heat, hot",22,low_fb
389,"carmel, mount carmel, mount, mt carmel, carmel hs",4,low_fb
390,"open apply, hevner school, mrs blackburn, 2013 rate, ms hevner",6,low_fb
391,"maple, maplewood, maple lake, maple valley, maple shade",11,low_fb
392,"ross, students rrcs, think tom, chose reid, tom hatch",2,low_fb
393,"huntland, hunter, huntley, hunt, love huntland",10,low_fb
394,"chicago, golder, illinois, school chicago, city chicago",10,low_fb
395,"walnut, walnut hills, walnut ridge, hills, walnut grove",15,low_fb
397,"discipline, waianae, waianae high, disruptive, discipline waianae",5,low_fb
399,"lafayette, lafayette high, recommend tch, coupled poorly, switched lafayette",5,low_fb
401,"eldred, elc, new elcho, center attain, basis elc",6,low_fb
402,"walker high, walker, pursue, thi possible, adopted time",2,low_fb
403,"monroe, junior 8th, want construction, ma lol, louisiana just",2,low_fb
404,"problems game, don canisteo, canisteo greenwood, canisteo, certain care",1,low_fb
405,"mission, new mission, mission high, mission hills, graduated mission",19,low_fb
406,"vpk providence, unfortunately financially, went vpk, financially afford, providence great",1,low_fb
409,"ptsa, arabia mountain, paly, arabia, ptsa doing",9,low_fb
410,"kell, experience kell, kell best, youngest energy, specifically kell",5,low_fb
411,"coral, cape coral, cape, high lever, lever academics",2,low_fb
414,"zillah high, engineering wood, activites fbla, fbla asb, wood metalworking",1,low_fb
417,"bullied, chagrin, picture taken, refused school, harassed",9,low_fb
418,"srhs, msgt, sra, extra hours, vould best",3,low_fb
420,"ihm, respected obviously, emphasis central, ihs rounded, body loyal",1,low_fb
421,"brentwood, brentwood high, brentwood school, available updating, moved wv",5,low_fb
422,"eleva, eleva strum, strum, manufacturing, macbook",4,low_fb
423,"virginia, lake braddock, vacaville, braddock, northern",8,low_fb
427,"rps, friday leadership, core gang, pcssd high, man friday",4,low_fb
428,"ged course, teach ged, high majority, write grade, level push",1,low_fb
429,"virtual, virtual school, explaining extra, thank reynolds, deficit hyperactivity",1,low_fb
430,"chavez, cesar chavez, cesar, kingsley, math credential",8,low_fb
433,"centennial, frisco, centennial high, centennial great, centennial graduating",9,low_fb
435,"santa fe, santa, fe, fe high, graduated santa",8,low_fb
436,"toledo, holland, dutchtown, dutchtown high, dutch",6,low_fb
437,"stratford, greatly non, stratford junior, addition blackboard, putting uncomfortable",2,low_fb
439,"union, union academy, unionville, titan, uhs",8,low_fb
440,"maximize daughters, litchfield struggles, irvine based, provide memorable, say mathematics",6,low_fb
441,"mason, rumor, started teens, positive ladies, rumor public",2,low_fb
442,"fmshs, fmshs fabulous, librarians cafeteria, fm shs, struggling awesome",2,low_fb
443,"danville, danville school, amityville, moved amityville, grantsville",19,low_fb
444,"gilbert, gilbert school, west gilbert, imagine west, words hime",4,low_fb
445,"copiah, copiah county, talked copiah, durham 23, lived durham",2,low_fb
446,"bell, bell senior, bellville high, bellville, students bell",3,low_fb
449,"rosa, kain, santa rosa, friedships, kain years",3,low_fb
