feature,importance,std,direction,signed_importance,ci_low,ci_high
"topic_71 (autism, autistic, son)",0.0005632812119108043,0.00013339509250184103,-1.0,-0.0005632812119108043,-0.0006587063125569497,-0.00046785611126465895
"topic_209 (gates, ob, ob gates)",0.0005507583246628922,0.00011096470231320243,1.0,0.0005507583246628922,0.00047137895854220253,0.0006301376907835818
"topic_83 (holy, holy family, holy spirit)",0.0005428505369864279,0.00015351457439478217,-1.0,-0.0005428505369864279,-0.0006526682479495961,-0.00043303282602325964
"topic_43 (ps, ps 37, 37)",0.0005044299641264072,0.0001245280092255228,-1.0,-0.0005044299641264072,-0.0005935119355148647,-0.0004153479927379498
"topic_231 (homeschooling, homeschool, homeschooled)",0.0005004040536790378,0.00010463537456669033,-1.0,-0.0005004040536790378,-0.0005752556914859964,-0.0004255524158720791
"topic_82 (jewish, hebrew, secular)",0.0004952953005948668,0.00011336233347981724,1.0,0.0004952953005948668,0.00041420077246112635,0.0005763898287286073
"topic_34 (oak, oaks, oakwood)",0.0004544093741833288,0.0001196631500331952,1.0,0.0004544093741833288,0.0003688075134147638,0.0005400112349518938
"topic_79 (lincoln, lincoln school, lincoln elementary)",0.00043580500010085286,9.579936101716207e-05,1.0,0.00043580500010085286,0.00036727426560795583,0.0005043357345937499
"topic_174 (kennedy, langley, jfk)",0.00042503427734572605,0.00019442847656694865,1.0,0.00042503427734572605,0.00028594852391276724,0.0005641200307786849
"topic_59 (vista, alta, verde)",0.0003954189225300331,0.00010063224212064501,-1.0,-0.0003954189225300331,-0.0004674068918961272,-0.000323430953163939
"topic_112 (fundraisers, fundraising, money)",0.00039356201983742345,0.0001048961538877533,-1.0,-0.00039356201983742345,-0.00046860020793264344,-0.00031852383174220346
"topic_88 (green, greene, greenbrier)",0.0003916125147377603,7.085062187568617e-05,-1.0,-0.0003916125147377603,-0.00044229599639010095,-0.0003409290330854196
"topic_141 (washington, washington school, washington elementary)",0.0003909074324339068,0.00015178211541827164,1.0,0.0003909074324339068,0.0002823290479639269,0.0004994858169038867
"topic_94 (cms, camden, cma)",0.00037578180331450107,9.707663837558632e-05,1.0,0.00037578180331450107,0.0003063373596423927,0.00044522624698660945
"topic_65 (french, french immersion, immersion)",0.0003284440444027203,4.868408594131264e-05,1.0,0.0003284440444027203,0.00029361754731287246,0.0003632705414925682
"topic_155 (dyslexia, dyslexic, reading)",0.00031426633697246854,8.170514857524063e-05,1.0,0.00031426633697246854,0.0002558179946843668,0.00037271467926057027
"topic_165 (canyon, copper, bell canyon)",0.000306798342048864,9.411370126051626e-05,1.0,0.000306798342048864,0.00023947345590403016,0.00037412322819369785
"topic_85 (phoenix, arizona, tucson)",0.0003025241889530572,8.853465040296742e-05,-1.0,-0.0003025241889530572,-0.0003658580625380833,-0.00023919031536803113
